file,adv,stop,rear,travel_time,match,remark
20230101_11,100453,200458,,10,0,
20230101_11,100454,,300457,5.1,1,
20230101_11,100455,200458,,6.2,0,
20230101_11,100519,200524,,6.9,0,
20230101_11,100519,200523,,4.6,1,
20230101_11,100521,200524,,4.4,1,
20230101_11,100567,200568,,4.1,1,
20230101_11,100639,200641,,4,1,
20230101_11,100640,200642,,3.5,1,
20230101_11,100659,200661,,5.1,1,
20230101_11,100660,200662,,7.5,1,
20230101_12,100022,200023,,6.2,1,
20230101_12,100075,200077,,4.4,1,
20230101_12,100076,200079,,9.7,0,
20230101_12,100076,,300078,5.4,0,updated
20230101_12,100184,200185,,4.2,1,
20230101_12,100210,200212,,4.4,1,
20230101_12,100211,200213,,4,1,
20230101_12,100312,200313,,4.7,1,
20230101_12,100326,200328,,4.9,1,
20230101_12,100327,200329,,5.2,1,
20230101_12,100377,200378,,3.2,0,
20230101_12,100377,200380,,9.9,0,
20230101_12,100486,200489,,4.2,1,
20230101_12,100488,200492,,4.1,1,
20230101_12,100488,200494,,9.4,0,
20230101_12,100490,200495,,7.6,1,
20230101_12,100491,200494,,6.7,1,
20230101_12,100752,200754,,6.6,1,
20230101_12,100767,200768,,6.2,1,
20230101_14,100054,200056,,4.9,1,
20230101_14,100055,200057,,3.9,1,
20230101_14,100221,200223,,4,1,
20230101_14,100245,,300246,4.3,1,
20230101_14,100271,200272,,3.6,1,
20230101_14,100313,200314,,3.9,1,
20230101_14,100380,200381,,3.5,1,
20230101_14,100542,,300543,4.2,1,
20230101_14,100568,,300571,4.8,1,
20230101_14,100587,200588,,4.7,1,
20230101_14,100760,200762,,7.8,1,
20230101_14,100798,200803,,12.4,0,
20230101_14,100798,200799,,5,1,
20230101_14,100800,200803,,6,1,updated
20230101_14,100801,200803,,3.7,0,
20230101_14,100837,200838,,7.2,1,
20230101_14,100914,200915,,6.8,1,
20230101_14,100948,200949,,7.2,1,
20230101_15,100061,200063,,5,1,
20230101_15,100126,200127,,3.3,1,
20230101_15,100197,200198,,6.9,1,
20230101_15,100315,200317,,4.5,1,
20230101_15,100316,200318,,5.6,1,
20230101_15,100342,,300349,6.5,0,
20230101_15,100342,200351,,7.9,0,
20230101_15,100344,,300349,4.8,0,
20230101_15,100344,200351,,6.2,0,
20230101_15,100345,200353,,12.2,0,
20230101_15,100345,200350,,4.7,1,
20230101_15,100346,,300354,11.8,0,
20230101_15,100346,200351,,4.6,0,
20230101_15,100346,,300349,3.2,0,
20230101_15,100348,,300354,8.7,0,
20230101_15,100352,,300354,6.3,0,
20230101_15,100468,200471,,4.9,1,
20230101_15,100470,,300472,5.1,1,
20230101_15,100493,200494,,4.7,1,
20230101_15,100571,200573,,4.4,1,
20230101_15,100574,200575,,9,1,
20230101_15,100617,200618,,7.3,1,
20230101_15,100651,200652,,4.2,1,
20230101_15,100696,200697,,5,1,
20230101_15,100747,200748,,4.9,1,
20230101_15,100785,200787,,4.9,1,
20230101_15,100786,200788,,5.2,1,
20230101_15,100904,,300906,6.3,0,
20230101_15,100907,200908,,8.6,1,
20230101_16,100000,200001,,5,0,
20230101_16,100041,,300042,5.2,1,
20230101_16,100064,200065,,5.4,1,
20230101_16,100170,200172,,4.7,1,
20230101_16,100171,200173,,6.9,1,
20230101_16,100258,200259,,3.8,1,
20230101_16,100381,200382,,5.1,1,
20230101_16,100543,200545,,5,1,
20230101_16,100629,200634,,12.3,0,
20230101_16,100629,200632,,5.3,0,
20230101_16,100629,,300633,5.8,0,
20230101_16,100630,200632,,3.8,0,
20230101_16,100630,200634,,10.8,0,
20230101_16,100630,,300633,4.3,0,
20230101_16,100631,200634,,7.5,0,
20230101_16,100631,,300635,9.8,0,
20230101_16,100718,200719,,7.4,1,
20230101_16,100800,200801,,3.3,1,
20230101_16,100828,200829,,4.6,1,
20230101_17,100053,200054,,4.7,1,
20230101_17,100118,200119,,4.1,1,
20230101_17,100190,200191,,4.8,1,
20230101_17,100211,200213,,7.2,0,
20230101_17,100257,200259,,3.3,1,
20230101_17,100258,200260,,3.8,1,
20230101_17,100276,200277,,4.3,1,
20230101_17,100408,200409,,3.2,1,
20230101_17,100518,200519,,4,1,
20230101_17,100548,200549,,6.2,1,
20230101_17,100562,200564,,5.2,1,
20230101_17,100596,200598,,4.6,1,
20230101_17,100658,200659,,8.2,1,
20230101_17,100720,200721,,4.1,1,
20230101_18,100086,200087,,4,1,
20230101_18,100119,200121,,5.3,1,
20230101_18,100122,200123,,7.4,1,
20230101_18,100242,200245,,4.3,1,
20230101_18,100242,200248,,9.7,0,
20230101_18,100243,200248,,7.1,1,
20230101_18,100244,200249,,12.6,0,updated
20230101_18,100244,200247,,5.1,1,
20230101_18,100246,200249,,9.1,1,
20230101_18,100305,200306,,4.9,1,
20230101_18,100378,200379,,7.9,1,
20230101_18,100392,200393,,5.1,1,
20230101_18,100413,200414,,7.9,1,
20230101_18,100514,200516,,6.8,1,
20230101_18,100536,200538,,4.6,0,
20230101_18,100536,200540,,11.9,0,
20230101_18,100537,200539,,5,0,
20230101_18,100555,200556,,4.6,1,
20230101_18,100597,200598,,6.6,1,
20230101_18,100637,200638,,5.6,1,
20230101_18,100665,200667,,3.8,1,
20230101_18,100664,200669,,7.6,0,
20230101_18,100664,200668,,4.4,1,
20230101_18,100666,200668,,3,0,
20230101_18,100666,200669,,6.2,1,
20230101_18,100847,200848,,4.9,1,
20230101_19,100037,200038,,6.2,1,
20230101_19,100243,200245,,4.5,1,
20230101_19,100244,200247,,9.1,0,
20230101_19,100246,200247,,6.7,0,
20230101_19,100273,200275,,3.4,1,
20230101_19,100274,200282,,12.5,0,
20230101_19,100274,200276,,3.6,1,updated
20230101_19,100337,200338,,7.1,1,
20230101_19,100425,200426,,6.7,1,
20230101_19,100441,200442,,4,0,
20230101_19,100441,200443,,7.2,0,
20230101_19,100477,200479,,6.5,0,
20230101_19,100547,,300548,5.3,1,
20230101_19,100648,200650,,8.4,1,
20230101_19,100662,200664,,6.6,1,
20230101_19,100684,200685,,6.9,1,
20230101_20,100091,200092,,7.7,1,
20230101_20,100138,200140,,4.3,1,
20230101_20,100138,200141,,11.2,0,
20230101_20,100139,200141,,7.4,1,
20230101_20,100189,,300196,11.7,0,
20230101_20,100190,200194,,4.2,1,
20230101_20,100190,200197,,12,0,
20230101_20,100193,,300196,5.3,1,
20230101_20,100195,200197,,7.6,1,
20230101_20,100210,200211,,3.3,1,
20230101_20,100320,200322,,3.3,1,
20230101_20,100392,200393,,6,1,
20230101_20,100404,200406,,4.9,1,
20230101_20,100483,200484,,5.4,1,
20230101_20,100511,200512,,4.4,1,
20230101_20,100536,200537,,3.9,1,
20230101_20,100603,200604,,7.8,1,
20230101_20,100671,200672,,5,1,
20230101_21,100000,200001,,5.6,0,
20230101_21,100029,200030,,4.8,1,
20230101_21,100031,200035,,8.4,1,
20230101_21,100032,200034,,7.3,1,
20230101_21,100092,200094,,3.9,1,
20230101_21,100093,200096,,4.8,1,
20230101_21,100133,200134,,4,1,
20230101_21,100220,200222,,4.3,1,
20230101_21,100221,200223,,4.4,1,
20230101_21,100234,200235,,6.9,1,
20230101_21,100264,200266,,4.5,1,
20230101_21,100281,200282,,4,1,
20230101_21,100350,200353,,8.5,1,
20230101_21,100436,200440,,6.2,0,
20230101_21,100437,200440,,4.7,0,updated
20230101_21,100454,200457,,3.7,1,updated
20230101_21,100549,200550,,5.4,1,
20230101_22,100000,200001,,7.7,1,updated
20230101_22,100020,200021,,4.8,1,
20230101_22,100084,200087,,5.5,1,
20230101_22,100085,200086,,3.5,1,
20230101_22,100207,200209,,3.9,1,
20230101_22,100207,200212,,9.8,0,
20230101_22,100208,,300211,6.1,1,
20230101_22,100210,200212,,5.9,1,
20230101_22,100319,200320,,4.1,1,
20230101_22,100356,200357,,6.1,1,
20230101_22,100377,200381,,7.6,0,
20230101_22,100378,200381,,4.4,0,
20230101_22,100386,200387,,6.2,1,
20230101_22,100575,200581,,10.9,0,
20230101_22,100579,200581,,5.6,0,
20230101_22,100580,200582,,7.3,1,
20230101_23,100170,200171,,5.6,1,
20230101_23,100218,200219,,5.5,1,
20230101_23,100298,200302,,9,0,
20230101_23,100300,200302,,4.5,1,updated
20230101_23,100301,,300303,7.7,0,updated
20230101_23,100309,200310,,3.8,1,
20230102_00,100016,200018,,8,1,
20230102_00,100062,200063,,5,1,
20230102_00,100194,,300196,5,1,
20230102_00,100210,200211,,6.6,1,
20230102_03,100049,200050,,3.9,1,
20230102_03,100049,200052,,12.4,0,
20230102_03,100051,200052,,5.4,1,
20230102_03,100106,200107,,3.7,1,
20230102_03,100128,200129,,4.9,1,updated
20230102_04,100000,200001,,3.3,1,updated
20230102_04,100020,200021,,6.3,1,
20230102_04,100028,200029,,4.1,1,
20230102_04,100097,200098,,4.8,1,
20230102_04,100109,200110,,4.3,1,
20230102_04,100143,200144,,6.1,1,updated
20230102_05,100015,200017,,7,1,
20230102_05,100018,200019,,5,1,
20230102_05,100025,200026,,7.3,1,
20230102_05,100038,200039,,4.3,1,
20230102_05,100217,200218,,4.2,1,
20230102_05,100227,200228,,6,1,updated
20230102_06,100019,200021,,3.9,1,
20230102_06,100020,200022,,6.1,1,
20230102_06,100110,200111,,10.1,1,
20230102_06,100154,200156,,9.9,0,
20230102_06,100154,200155,,4.2,1,
20230102_06,100206,200207,,6.5,1,
20230102_06,100226,,300227,5.5,1,
20230102_06,100256,200257,,4.4,1,
20230102_06,100269,200270,,4.3,1,
20230102_06,100277,,300279,6.1,1,
20230102_06,100278,200282,,6.7,1,
20230102_06,100309,200311,,4.9,1,
20230102_06,100310,200312,,4.4,1,
20230102_06,100325,200328,,5.1,1,
20230102_06,100326,200330,,6.7,0,
20230102_06,100326,,300329,6.1,0,
20230102_06,100327,200330,,5.1,0,
20230102_06,100327,,300329,4.5,0,
20230102_06,100331,200332,,6.7,1,
20230102_06,100347,200349,,7.9,1,
20230102_07,100128,200129,,4.2,1,
20230102_07,100212,200213,,4.8,1,
20230102_07,100269,200271,,7.3,1,
20230102_07,100270,200272,,8.1,1,
20230102_07,100315,200316,,4.4,1,
20230102_07,100328,200333,,10.9,0,
20230102_07,100329,200332,,3.9,1,
20230102_07,100331,200333,,5.7,0,
20230102_08,100013,,300014,3.6,0,
20230102_08,100108,200110,,6.4,1,
20230102_08,100129,200131,,7.8,1,
20230102_08,100245,200246,,3.6,1,
20230102_08,100297,200299,,6.5,1,
20230102_08,100394,,300395,4.1,1,
20230102_09,100001,200003,,3,1,updated
20230102_09,100033,200034,,4.7,1,
20230102_09,100046,200047,,4.2,1,
20230102_09,100109,200111,,6.7,1,
20230102_09,100156,200158,,8.3,1,
20230102_09,100220,200221,,6.4,1,
20230102_09,100280,200281,,5.6,1,
20230102_09,100339,200341,,5.4,1,
20230102_09,100371,200372,,4.7,1,
20230102_09,100393,,300396,4.5,1,updated
20230102_09,100395,200397,,4.4,1,
20230102_09,100465,200466,,4.2,1,
20230102_09,100557,200558,,6.9,1,
20230102_09,100575,200577,,5.8,1,
20230102_09,100576,200578,,5.7,1,
20230102_09,100671,200672,,4.2,1,
20230102_09,100727,200728,,4.7,1,
20230102_10,100092,200093,,4.4,1,
20230102_10,100107,200108,,5.6,1,
20230102_10,100261,200262,,4.9,1,
20230102_10,100467,200468,,6.8,1,
20230102_10,100506,200508,,4.9,1,
20230102_10,100519,200520,,3.7,1,
20230102_10,100521,200522,,9.1,1,
20230102_10,100640,200641,,7.6,1,
20230102_10,100656,200657,,6.8,1,
20230102_10,100816,200817,,4,1,
20230102_10,100865,200866,,3.9,1,
20230102_10,100867,200868,,7.4,1,
20230102_11,100044,200045,,5.2,1,
20230102_11,100061,200063,,4.5,1,
20230102_11,100064,200065,,6.8,1,
20230102_11,100148,200150,,4,1,
20230102_11,100151,200152,,5.1,1,
20230102_11,100243,,300245,6.7,1,
20230102_11,100244,200246,,9.8,1,
20230102_11,100425,200428,,6,1,
20230102_11,100426,200427,,5.1,1,
20230102_11,100523,200524,,5.8,1,
20230102_11,100548,200549,,4.7,1,
20230102_11,100637,200638,,3.8,1,
20230102_11,100639,200643,,5.8,1,
20230102_11,100734,200736,,3.7,1,
20230102_11,100777,200779,,3.6,1,
20230102_11,100778,200780,,3.9,1,
20230102_11,100809,200811,,6.2,1,
20230102_11,100810,,300813,4.9,1,
20230102_11,100954,200955,,6.5,1,
20230102_11,101015,201020,,5.5,0,
20230102_11,101015,201018,,3.3,1,updated
20230102_11,101017,201020,,3.3,1,updated
20230102_11,101019,201022,,5.9,1,
20230102_11,101054,201057,,4.4,1,
20230102_12,100074,200075,,9.1,1,
20230102_12,100238,200241,,5.1,1,
20230102_12,100238,200243,,11.7,0,
20230102_12,100239,200242,,5.6,1,
20230102_12,100240,200243,,7.7,1,
20230102_12,100358,200360,,4.3,1,
20230102_12,100400,200401,,5.1,1,
20230102_12,100472,200474,,6.4,1,
20230102_12,100475,200476,,6.9,1,
20230102_12,100516,,300518,5,1,
20230102_12,100590,,300595,11.4,0,
20230102_12,100590,200592,,6.5,1,
20230102_12,100591,200594,,7.3,1,
20230102_12,100633,200635,,4.2,1,
20230102_12,100633,,300637,12.6,0,
20230102_12,100632,200634,,4,1,
20230102_12,100692,200693,,5.7,1,updated
20230102_12,100734,200735,,7.5,1,
20230102_12,100770,200774,,7.3,1,
20230102_12,100987,200988,,4,1,
20230102_12,101055,201057,,5.8,1,
20230102_12,101080,201082,,4.5,1,
20230102_12,101081,201084,,5.7,1,
20230102_12,101195,201196,,4.5,1,
20230102_13,100043,200044,,3.5,1,
20230102_13,100067,,300068,5.2,1,updated
20230102_13,100120,200121,,4.1,1,
20230102_13,100145,200153,,9.3,0,
20230102_13,100145,200152,,5.4,0,
20230102_13,100145,200148,,3.6,0,updated
20230102_13,100146,200150,,4.4,1,
20230102_13,100147,200153,,7.3,0,
20230102_13,100147,200152,,3.4,0,updated
20230102_13,100149,200153,,4.8,0,updated
20230102_13,100151,200154,,7.1,1,
20230102_13,100184,200186,,4.1,1,
20230102_13,100185,200187,,4.1,1,
20230102_13,100291,200293,,4.5,1,
20230102_13,100291,200295,,11,0,
20230102_13,100292,200295,,6.5,1,
20230102_13,100329,200332,,6.1,0,
20230102_13,100330,200332,,4.7,1,updated
20230102_13,100467,200468,,7.2,1,
20230102_13,100505,200506,,6.8,1,
20230102_13,100528,200529,,3.8,1,
20230102_13,100571,200572,,6.2,1,
20230102_13,100614,200615,,4.2,1,
20230102_13,100709,200711,,4.4,1,
20230102_13,100712,200716,,8.2,1,
20230102_13,100713,200717,,7.4,1,updated
20230102_13,100745,200746,,7.9,1,
20230102_13,100789,200793,,6.3,0,
20230102_13,100790,200793,,5,0,
20230102_13,100874,200876,,3.7,1,
20230102_13,100875,200877,,3.6,1,
20230102_13,100939,200940,,4.1,1,
20230102_13,100950,200952,,6.4,1,
20230102_13,100951,200953,,5.8,1,
20230102_13,101020,,301021,5.6,1,updated
20230102_13,101127,201128,,8.5,1,
20230102_13,101164,201165,,4.2,1,
20230102_13,101208,201210,,3.5,1,
20230102_13,101211,201212,,7.8,1,
20230102_13,101236,201237,,4.9,1,
20230102_13,101281,201283,,4.2,1,
20230102_13,101282,201284,,5,1,
20230102_14,100001,,300004,3.1,0,
20230102_14,100001,,300007,6.2,0,
20230102_14,100086,200087,,5.6,1,
20230102_14,100194,200195,,6.3,1,
20230102_14,100332,200334,,5.5,0,
20230102_14,100333,200334,,2.9,0,
20230102_14,100790,,300793,5.9,0,
20230102_14,100790,,300791,2.8,0,
20230102_14,100794,200796,,8.1,1,
20230102_14,100852,200853,,5.6,1,
20230102_14,100891,200893,,4.4,1,
20230102_14,101001,201005,,4.9,1,
20230102_14,101002,201007,,7.2,1,
20230102_14,101073,,301075,5.5,1,
20230102_14,101074,201076,,7.4,1,
20230102_14,101235,201242,,5.9,0,
20230102_14,101238,201242,,3.8,1,updated
20230102_14,101241,201246,,10.6,0,
20230102_14,101241,,301245,6.3,0,
20230102_14,101243,,301245,4,0,
20230102_14,101243,201246,,8.3,0,
20230102_14,101244,201248,,7.7,1,
20230102_15,100074,200089,,11.1,0,
20230102_15,100074,200080,,4.2,1,
20230102_15,100076,200082,,3.8,1,
20230102_15,100076,200085,,5.3,0,
20230102_15,100077,200083,,4.1,0,updated
20230102_15,100077,200086,,5.4,0,
20230102_15,100077,200087,,7.4,0,
20230102_15,100078,200086,,4.2,0,updated
20230102_15,100078,200083,,2.9,0,
20230102_15,100078,200087,,6.2,0,
20230102_15,100079,200085,,3.7,1,
20230102_15,100081,200089,,6.1,1,
20230102_15,100084,200089,,4.1,0,
20230102_15,100130,200138,,7.9,0,
20230102_15,100134,200138,,4.5,0,
20230102_15,100136,200139,,5.3,0,
20230102_15,100290,200291,,4.2,1,
20230102_15,100401,200403,,4.4,1,
20230102_15,100402,200404,,4,1,
20230102_15,100573,200580,,10.1,0,
20230102_15,100573,,300579,6.8,0,
20230102_15,100574,200580,,7.9,0,
20230102_15,100574,,300579,4.6,0,
20230102_15,100576,200580,,6.1,0,
20230102_15,100576,,300579,2.8,0,
20230102_15,100577,200581,,5.6,1,
20230102_15,100578,200583,,8,1,
20230102_15,100636,200643,,6.4,1,
20230102_15,100637,200642,,4.6,1,
20230102_15,100640,200645,,4.6,1,
20230102_15,100644,200647,,7.9,1,
20230102_15,100646,200648,,6.1,1,
20230102_15,100711,200715,,7,0,
20230102_15,100759,200761,,3.6,0,
20230102_15,100828,,300829,6.2,1,updated
20230102_15,100921,200922,,4.7,1,
20230102_15,100923,200924,,3.7,1,
20230102_15,101047,201048,,5.2,1,
20230102_15,101108,201109,,5.3,1,updated
20230102_15,101187,201189,,5.1,1,
20230102_15,101238,201239,,8,1,
20230102_15,101345,201349,,8.2,1,
20230102_15,101425,201426,,4.2,1,
20230102_16,100041,200042,,4.3,1,
20230102_16,100102,200108,,5,1,
20230102_16,100102,200113,,8.5,0,
20230102_16,100104,200109,,3.3,0,
20230102_16,100104,,300112,6.2,0,
20230102_16,100105,200113,,4.6,1,
20230102_16,100105,200117,,10.1,0,
20230102_16,100107,,300112,4.2,0,
20230102_16,100110,200117,,7.6,0,
20230102_16,100111,200117,,6,0,
20230102_16,100246,200248,,5.2,1,
20230102_16,100247,200249,,4.7,1,
20230102_16,100293,200294,,3.5,1,
20230102_16,100344,200360,,6.7,0,
20230102_16,100344,200369,,11.4,0,
20230102_16,100346,,300363,7.3,0,
20230102_16,100346,200358,,5.9,0,
20230102_16,100346,200367,,10.6,0,
20230102_16,100347,200365,,9.9,0,
20230102_16,100347,200361,,6.9,0,
20230102_16,100348,200367,,9.1,0,
20230102_16,100348,,300363,5.8,0,
20230102_16,100348,200358,,4.4,0,
20230102_16,100349,200360,,4.5,0,
20230102_16,100349,200369,,9.2,0,
20230102_16,100351,200358,,2.9,0,
20230102_16,100351,200367,,7.6,0,
20230102_16,100351,,300363,4.3,0,
20230102_16,100352,200361,,3.9,0,
20230102_16,100352,200365,,6.9,0,
20230102_16,100356,,300363,2.6,0,
20230102_16,100356,200367,,5.9,0,
20230102_16,100357,200365,,4.7,0,
20230102_16,100359,200365,,4,0,
20230102_16,100362,200365,,2.8,0,
20230102_16,100638,200639,,4.7,1,
20230102_16,100670,200671,,3.8,1,
20230102_16,100771,200782,,5.7,0,
20230102_16,100771,,300779,4.7,0,
20230102_16,100771,200792,,11.2,0,
20230102_16,100774,200780,,4.2,1,
20230102_16,100774,200788,,9,0,
20230102_16,100774,200784,,5.4,0,
20230102_16,100775,200792,,9.7,0,
20230102_16,100775,200782,,4.2,0,
20230102_16,100775,,300779,3.2,0,
20230102_16,100776,200780,,2.9,0,
20230102_16,100776,200788,,7.7,0,
20230102_16,100776,200784,,4.1,1,
20230102_16,100777,200794,,9.7,0,
20230102_16,100777,200785,,3.7,1,
20230102_16,100778,200788,,6.1,1,
20230102_16,100778,200784,,2.5,0,
20230102_16,100781,200792,,5.9,1,
20230102_16,100783,200794,,6.8,1,
20230102_16,100940,200945,,4.2,1,
20230102_16,100941,200944,,3.5,1,
20230102_16,100943,200946,,3.8,1,
20230102_16,101008,201019,,9.7,0,
20230102_16,101008,201011,,3.4,1,updated
20230102_16,101009,201017,,6.5,0,
20230102_16,101009,201012,,3.2,0,
20230102_16,101010,201017,,4.9,0,
20230102_16,101013,201017,,3.3,0,
20230102_16,101014,201019,,5.3,1,updated
20230102_16,101015,201020,,5.7,1,updated
20230102_16,101015,,301025,13,0,
20230102_16,101079,201086,,10.3,0,
20230102_16,101079,201085,,5.8,0,
20230102_16,101079,201084,,4.4,1,
20230102_16,101080,201085,,4.2,1,
20230102_16,101080,201086,,8.7,0,
20230102_16,101080,201084,,2.8,0,
20230102_16,101083,,301089,11.3,0,
20230102_16,101083,201086,,5.9,1,
20230102_16,101228,201229,,3.5,1,
20230102_16,101230,,301235,5.4,1,
20230102_16,101231,201237,,6.6,1,
20230102_17,100002,200003,,5.9,1,updated
20230102_17,100390,,300393,5.8,1,
20230102_17,100391,200394,,5.7,1,
20230102_17,100392,200395,,7.5,1,
20230102_17,100527,200529,,3.5,1,
20230102_17,100528,200535,,10.7,0,
20230102_17,100528,200530,,3.7,1,
20230102_17,100531,200535,,6.8,1,updated
20230102_17,100532,200537,,7.4,1,updated
20230102_17,100533,200535,,4.5,0,
20230102_17,100580,,300586,10.1,0,
20230102_17,100580,,300584,5.1,1,
20230102_17,100582,200585,,4.4,1,
20230102_17,100583,,300586,5.3,1,
20230102_17,100639,200641,,4.3,1,
20230102_17,100640,,300642,5.4,1,
20230102_17,100738,200742,,3.8,1,
20230102_17,100740,,300744,4.7,0,
20230102_17,100740,,300748,7.1,0,
20230102_17,100740,200753,,12.2,0,
20230102_17,100741,,300748,5,0,
20230102_17,100741,,300744,2.6,0,
20230102_17,100741,200753,,10.1,0,
20230102_17,100743,,300748,2.5,0,
20230102_17,100743,200753,,7.6,0,
20230102_17,100819,200820,,5.7,1,
20230102_17,100865,,300867,5.3,1,
20230102_17,100865,,300868,11.1,0,
20230102_17,100985,200988,,3.8,1,
20230102_17,100986,200989,,3.8,1,
20230102_17,100986,200998,,11.6,0,
20230102_17,100987,200990,,3.7,1,
20230102_17,100991,200998,,7.2,1,
20230102_17,101038,201039,,7,1,
20230102_17,101101,201104,,4.8,0,
20230102_17,101101,201107,,12.7,0,
20230102_17,101103,201106,,8.6,1,
20230102_17,101144,201145,,4.2,1,
20230102_17,101246,201252,,11.6,0,
20230102_17,101246,201249,,4.3,1,
20230102_17,101247,201250,,3.9,1,
20230102_17,101251,201252,,6.3,1,
20230102_18,100003,200004,,6.9,1,updated
20230102_18,100041,200043,,4.2,1,
20230102_18,100041,200045,,7.3,0,
20230102_18,100042,200045,,5.4,1,
20230102_18,100082,200087,,3.9,1,
20230102_18,100083,200095,,11,0,
20230102_18,100083,200088,,3.8,1,
20230102_18,100086,200097,,10,0,
20230102_18,100086,,300092,4.7,1,updated
20230102_18,100089,200095,,6.2,1,
20230102_18,100090,200097,,6.7,1,updated
20230102_18,100091,200099,,8.1,1,
20230102_18,100165,200168,,7.1,1,
20230102_18,100323,200330,,12.3,0,
20230102_18,100324,,300327,4.7,1,updated
20230102_18,100325,200328,,3.3,0,
20230102_18,100401,200402,,8.8,1,
20230102_18,100476,200492,,12.6,0,
20230102_18,100476,200489,,8.2,0,
20230102_18,100476,200485,,6,0,
20230102_18,100476,200483,,4.5,1,
20230102_18,100478,200492,,11.1,0,
20230102_18,100478,200489,,6.7,0,
20230102_18,100478,200485,,4.5,1,
20230102_18,100478,200483,,3,0,
20230102_18,100479,200488,,5.3,0,
20230102_18,100479,200487,,4,1,
20230102_18,100481,200488,,4,1,
20230102_18,100481,200487,,2.7,0,
20230102_18,100482,200489,,4.2,1,
20230102_18,100482,200492,,8.6,0,
20230102_18,100484,200491,,6.2,1,
20230102_18,100486,200492,,6.4,1,
20230102_18,100550,200552,,3.8,1,
